file,function/line,original_text,proposed_key,notes
ui/chat.js,renderMessages system msg,Questo spazio è per voi. Non serve avere le parole giuste.,chat.system.welcome,
ui/chat.js,renderMessages status empty,Chat attiva con un Portatore,chat.status.active,
ui/chat.js,renderMessages last reply label,Ultima risposta:,chat.status.last_reply_prefix,
ui/chat.js,showChatsList title,I Tuoi Dialoghi,chat.list.title,
ui/chat.js,showChatsList empty state headline,🌱,chat.empty_state.icon,emoji
ui/chat.js,showChatsList empty state body,Qui appariranno i tuoi dialoghi anonimi. Ogni parola è un ponte.,chat.empty_state.body,
ui/chat.js,showChatsList empty state cta,Torna al Dashboard,chat.empty_state.cta,
ui/chat.js,createChatCard new badge,Nuovo,chat.list.card.new_badge,
ui/chat.js,createChatCard preview loading,Caricamento…,chat.list.card.preview_loading,
ui/chat.js,createChatCard open link,Apri la chat,chat.list.card.open,
ui/chat.js,getChatStatus today,Attività recente oggi,chat.list.card.status.today,
ui/chat.js,getChatStatus yesterday,Ultimo messaggio ieri,chat.list.card.status.yesterday,
ui/chat.js,getChatStatus days ago,Ultimo messaggio {count} giorni fa,chat.list.card.status.days_ago,has {count}
ui/chat.js,formatChatDate today,Oggi,,use date format
ui/chat.js,formatChatDate yesterday,Ieri,,use date format
ui/chat.js,loadLastMessagePreview empty,Ancora nessun messaggio,chat.list.card.no_messages,
ui/chat.js,fetchMessages error msg,Errore recupero messaggi,errors.chat.fetch,
ui/chat.js,send submit alert,Errore invio messaggio,errors.chat.send,
ui/dashboard.js,initDashboard error,Impossibile caricare i tuoi pensieri.,errors.dashboard.load,
ui/dashboard.js,renderUcmes empty title,Nessun pensiero condiviso,dashboard.empty.title,
ui/dashboard.js,renderUcmes empty body,Non hai ancora affidato pensieri. Inizia condividendo il tuo primo pensiero.,dashboard.empty.body,
ui/dashboard.js,renderUcmes risposta section title,Risposta del Portatore,dashboard.depositor.reply.title,
ui/dashboard.js,renderUcmes mark read,Segna come letta,dashboard.depositor.reply.mark_read,
ui/dashboard.js,renderUcmes read label,Letta,dashboard.depositor.reply.read_label,
ui/dashboard.js,renderUcmes premium prompt,Attiva MC Premium per continuare il dialogo.,dashboard.depositor.premium_prompt,
ui/dashboard.js,renderUcmes premium cta,Attiva Premium,dashboard.depositor.premium_cta,
ui/dashboard.js,renderUcmes login prompt,Accedi per continuare il dialogo.,dashboard.depositor.login_prompt,
ui/dashboard.js,renderUcmes login cta,Accedi,dashboard.depositor.login_cta,
ui/dashboard.js,setupContinueChatListeners sending,Invio...,dashboard.depositor.chat.sending,
ui/dashboard.js,setupContinueChatListeners requested label,Richiesta inviata,dashboard.depositor.chat.requested,
ui/login.js,login invalid,Email o password non validi,errors.auth.invalid_credentials,
ui/login.js,login error generic,Errore durante il login,errors.auth.login_generic,
ui/login.js,register name too short,Il nome deve essere di almeno 2 caratteri,errors.auth.name_short,
ui/login.js,register email invalid,Email non valida,errors.auth.email_invalid,
ui/login.js,register password policy,La password deve essere di almeno 12 caratteri e contenere maiuscola, minuscola, numero e simbolo,errors.auth.password_policy,
ui/login.js,register mismatch,Le password non coincidono,errors.auth.password_mismatch,
ui/login.js,register error generic,Errore durante la registrazione,errors.auth.register_generic,
ui/premium.js,login required,Per attivare Premium devi prima effettuare il login.,pricing.checkout.login_required,
ui/premium.js,checkout start error,Si è verificato un errore nell’avvio del pagamento. Riprova più tardi.,pricing.checkout.start_error,
ui/premium.js,unexpected error,Errore imprevisto. Riprova più tardi.,errors.unexpected,
ui/profile.js,logout toast,Logout completato,profile.logout.done,comes from core/logger but exposed to user
ui/profile.js,loading elements missing,Elementi profilo non trovati nel DOM,errors.profile.dom_missing,
ui/profile.js,profile prefill error,Prefill email non riuscito (probabile utente guest),profile.prefill_email.failed,dev/debug but visible sometimes
ui/profile.js,profile badge,MC Premium,profile.badge.premium,
ui/profile.js,profile toggle edit show,Chiudi Modifica,profile.edit.toggle_close,
ui/profile.js,profile toggle edit hide,Modifica le tue informazioni,profile.edit.toggle_open,
ui/admin.js,auth required,Autenticazione richiesta,errors.auth.required,
ui/admin.js,unauthorized,Accesso non autorizzato,errors.auth.unauthorized,
ui/admin.js,no portatori,Nessun portatore attivo,admin.portatori.empty,
ui/admin.js,no pending,Nessuna UCMe in attesa,admin.pending.empty,
ui/admin.js,select placeholder,Seleziona…,admin.pending.select_placeholder,
ui/admin.js,select prompt,Seleziona un Portatore,admin.pending.select_prompt,
ui/admin.js,assign success,UCMe assegnata con successo,admin.pending.assign_success,
ui/admin.js,assign error,Errore assegnazione,errors.admin.assign,
ui/admin.js,no users,Nessun utente registrato,admin.schools.users_empty,
ui/admin.js,school select placeholder,— Seleziona scuola —,admin.schools.select_placeholder,
ui/admin.js,assign school success,School code assegnato con successo,admin.schools.assign_success,
ui/admin.js,assign school error,Errore assegnazione,errors.admin.school_assign,
ui/portatore.js,status yes,Sei attualmente Portatore 🟢,profile.portatore.status_on,
ui/portatore.js,status no,Non sei Portatore,profile.portatore.status_off,
ui/portatore.js,toggle off label,Disattiva,profile.portatore.toggle_off,
ui/portatore.js,toggle on label,Attiva,profile.portatore.toggle_on,
ui/portatore.js,loading state,Caricamento stato…,profile.portatore.loading,
ui/portatore.js,error loading,Errore caricamento stato,errors.portatore.status_load,
ui/portatore.js,confirm revoke,Sei sicuro di voler revocare lo stato di Portatore?,profile.portatore.revoke_confirm,
ui/portatore.js,error toggle,Errore operazione Portatore,errors.portatore.toggle,
ui/portatore-requests.js,redirect login error,❌ Token mancante - redirect login,errors.auth.token_missing,
ui/portatore-requests.js,empty state label,📝 Nessuna richiesta trovata,portatore.requests.empty,
ui/portatore-requests.js,accept,Accetta,portatore.requests.accept,
ui/portatore-requests.js,reject,Rifiuta,portatore.requests.reject,
ui/portatore-requests.js,status accepted label,Accettata,portatore.requests.accepted,
ui/portatore-requests.js,status rejected label,Rifiutata,portatore.requests.rejected,
ui/ucme-portatore.js,section title,Pensieri Ricevuti,portatore.ucme.title,
ui/ucme-portatore.js,empty title,Nessun pensiero assegnato,portatore.ucme.empty.title,
ui/ucme-portatore.js,empty body,Al momento non hai UCMe da portare. Verranno assegnate automaticamente quando disponibili.,portatore.ucme.empty.body,
ui/ucme-portatore.js,details header,Contenuto completo,portatore.ucme.details.title,
ui/ucme-portatore.js,response header,Rispondi,portatore.ucme.response.title,
ui/ucme-portatore.js,response textarea placeholder,Scrivi qui la tua risposta (max 3000 caratteri),portatore.ucme.response.placeholder,
ui/ucme-portatore.js,send btn,Invia Risposta,portatore.ucme.response.send,
ui/ucme-portatore.js,sending,Invio…,portatore.ucme.response.sending,
ui/ucme-portatore.js,answered badge,Risposta inviata,portatore.ucme.response.answered_badge,
ui/dashboard-docente.js,impossible load,Impossibile caricare i dati.,errors.docente.load,
ui/dashboard-docente.js,no ucme for school,Nessun pensiero disponibile per la tua scuola.,docente.list.empty,
core/api.js,timeout,Timeout richiesta,errors.network.timeout,
core/api.js,api error,API error:,errors.network.api,
core/api.js,retry warn,Retry {count}/{total} per {endpoint},errors.network.retry,meta-only
core/auth.js,logout done,Logout completato,common.logout_done,
